PHASE 1 - opencl_workload_hello_world,hello_world_load,hello_world_load,1,0,91.121
PHASE 1 - opencl_workload_hello_world,hello_world_setup,hello_world_setup,1,0,0.004038
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to SUBMIT],0,1,0.002272
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [SUBMIT to START],0,1,0.003168
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to END],0,1,0.016
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [EXECUTION],0,0,0.01056
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to SUBMIT],0,1,0.008992
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [SUBMIT to START],0,1,0.003744
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to END],0,1,0.01376
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [EXECUTION],0,0,0.001024
PHASE 1 - opencl_workload_hello_world,hello_world_run,hello_world_run,1,0,0.107562
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.003988
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000581
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000261
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000181
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00018
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00018
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000221
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00018
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000181
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000201
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00018
