PHASE 1 - opencl_workload_hello_world,hello_world_load,hello_world_load,1,0,1780.49
PHASE 1 - opencl_workload_hello_world,hello_world_setup,hello_world_setup,1,0,0.029566
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to SUBMIT],0,1,0.006263
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [SUBMIT to START],0,1,0.237974
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to END],0,1,0.875642
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [EXECUTION],0,0,0.631405
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to SUBMIT],0,1,0.000653
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [SUBMIT to START],0,1,0.660353
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to END],0,1,0.664874
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [EXECUTION],0,0,0.003868
PHASE 1 - opencl_workload_hello_world,hello_world_run,hello_world_run,1,0,2.17679
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.006655
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.002158
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001577
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001405
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001377
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00136
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001359
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00136
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00134
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001341
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001344
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001344
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001356
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001351
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001349
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00135
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001349
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001347
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001346
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001345
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001343
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001344
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001344
